pg_seguidores,ph_likes,ph_fecha,ph_numerado,ph_hora,ph_hashtags,ph_persona,ph_naturaleza,ph_animal,ph_text,ph_R,ph_G,ph_B,ph_WB,ph_entropia,ph_energia,ph_foco
9500000,14326,2023-03-13,1,17,[],0,1,0,0,0,0,1,0,0.2653007308642069,0.0179327093064785,0.19750802576638465
9500000,14326,2023-03-13,1,17,[],0,1,0,0,0,0,1,0,0.2318901220957438,0.0252983178943395,0.04760421392937042
9500000,9509,2023-03-12,2,17,"['#jaws', '#peahi', '#bigwavesurfing', '#maui']",1,1,0,0,0,0,1,0,0.3218442002932231,0.0053604431450366,0.13213914337048902
9500000,11353,2023-03-11,3,17,[],1,1,0,0,1,0,0,0,0.307369867960612,0.0071095703169703,0.006360701592331373
9500000,6695,2023-03-10,4,17,"['#whitewaterkayaking', '#kayakaing', '#keralariver', '#playboat', '#outdooradventures']",1,1,0,0,0,1,0,0,0.3084604740142822,0.0073411101475358,0.049868540509899015
9500000,18179,2023-03-09,5,17,[],1,1,0,0,0,0,1,0,0.3201066652933756,0.0056503820233047,0.06407843940829185
9500000,25349,2023-03-08,6,17,[],1,1,0,0,0,0,1,0,0.3038758238156636,0.0077841025777161,0.05236519488593856
9500000,28584,2023-03-07,7,22,[],0,0,0,1,1,0,0,0,0.3037250836690267,0.0080552054569125,0.28608318165694385
9500000,13111,2023-03-07,8,17,"['#skiing', '#snow', '#backcountryskiing']",1,1,0,0,0,0,1,0,0.3247153361638387,0.0053293136879801,0.1942867023533
9500000,7086,2023-03-06,9,17,[],1,1,0,0,1,0,0,0,0.3286110957463582,0.0046093957498669,0.8126278055815352
9500000,12331,2023-03-05,10,17,[],0,1,0,0,0,0,1,0,0.3000524640083313,0.0082697123289108,0.17271484664933998
9500000,12331,2023-03-05,10,17,[],0,1,0,0,0,0,1,0,0.3212737242380778,0.0052392855286598,0.0632733968610201
9500000,6487,2023-03-05,11,17,[],1,1,0,0,0,0,1,0,0.3167290488878886,0.0067469663918018,0.10965173162973518
9500000,11605,2023-03-04,12,17,[],1,1,0,0,1,0,0,0,0.295017917950948,0.0118014412000775,0.12623131258765805
9500000,20718,2023-03-03,13,17,[],0,1,0,0,1,0,0,0,0.3183214664459228,0.0059918919578194,0.1327731903507091
9500000,20718,2023-03-03,13,17,[],1,1,0,0,1,0,0,0,0.3281491597493489,0.0045450562611222,0.1836754198881491
9500000,14676,2023-03-02,14,17,"['#losvalles', '#lanzarote']",0,1,1,0,1,0,0,0,0.2749296029408772,0.0172681361436843,0.006276461179947363
9500000,12892,2023-03-01,15,17,[],1,1,0,0,0,0,1,0,0.2999157110850016,0.0128702940419316,0.015811626585462826
9500000,19143,2023-02-28,16,17,[],1,1,0,0,0,0,1,0,0.2847997943560282,0.0133727146312594,0.10983583114138723
9500000,112521,2023-02-27,17,16,[],0,0,0,1,0,1,0,0,0.3230668306350708,0.0051071057096123,0.16764743496168977
9500000,7354,2023-02-25,18,17,"['#climbing', '#tetons', '#wyoming']",1,1,0,0,0,0,1,0,0.3239661455154419,0.0050993030890822,0.13252964537517412
9500000,8413,2023-02-24,19,22,[],1,1,0,0,0,0,0,0,0.2753860751787821,0.034421369433403,0.20991340878372122
9500000,8484,2023-02-24,20,17,[],1,1,0,0,1,0,0,0,0.3280591964721679,0.0044764271005988,0.19342628759140995
9500000,9761,2023-02-23,21,22,[],1,1,0,0,1,0,0,0,0.3214701811472575,0.005326384678483,0.1478437060314011
9500000,11565,2023-02-23,22,17,[],1,1,0,0,0,0,1,0,0.3308845559755961,0.0041915080510079,0.0457800813154975
9500000,9093,2023-02-22,23,22,[],1,1,0,0,0,1,0,0,0.3138989210128784,0.0065747457556426,0.049579802460045015
9500000,11248,2023-02-22,24,17,"['#argentina', '#chile', '#patagoniaicecap', '#patagonia']",1,1,0,0,1,0,0,0,0.3188040057818095,0.0058588213287293,0.15470099965882114
9500000,13870,2023-02-21,25,22,[],1,1,0,0,0,0,1,0,0.293001929918925,0.0099185863509774,0.08090676886548956
9500000,9696,2023-02-21,26,17,[],1,1,0,0,0,0,1,0,0.3133395512898763,0.006242292933166,0.1543621351003476
9500000,6427,2023-02-20,27,22,"['#snow', '#climbing', '#alpine']",1,1,0,0,0,0,1,0,0.274308701356252,0.0171886123716831,0.017023986363875074
9500000,20103,2023-02-20,28,17,[],1,1,0,0,1,0,0,0,0.3113629619280497,0.0066473921760916,0.09509784461467781
9500000,10564,2023-02-19,29,22,[],0,1,0,0,0,0,1,0,0.2940642833709717,0.0115001611411571,0.0966764771641321
9500000,5992,2023-02-19,30,17,"['#surfer', '#longboardsurfer', '#surfingphotographer', '#outdoorlifestyle', '#natgeophotographer']",1,1,0,0,1,0,0,0,0.2942323287328084,0.010560879483819,0.010812286784520503
9500000,5992,2023-02-19,30,17,"['#surfer', '#longboardsurfer', '#surfingphotographer', '#outdoorlifestyle', '#natgeophotographer']",1,1,0,0,1,0,0,0,0.3186737696329753,0.0054290490224957,0.0401335130613292
9500000,20136,2023-02-18,31,22,[],0,1,0,0,0,0,1,0,0.3113879362742106,0.006325137335807,0.030346999649234714
9500000,7485,2023-02-18,32,17,[],1,1,0,0,0,1,0,0,0.305091659228007,0.0080805411562323,0.42271105928525254
9500000,7809,2023-02-17,33,22,[],1,0,0,0,1,0,0,0,0.3294403950373332,0.0046142460778355,0.13865333977726388
9500000,12678,2023-02-17,35,17,[],1,1,0,0,0,0,1,0,0.3052589694658915,0.0068583018146455,0.01537810575726933
9500000,15240,2023-02-16,36,22,[],0,0,0,0,1,0,0,0,0.3165995478630066,0.0056416336447,0.2100881825437389
9500000,11295,2023-02-16,37,17,[],0,1,0,0,0,0,1,0,0.3037308851877848,0.0079050883650779,0.03862684929839031
9500000,11057,2023-02-15,38,22,"['#surfing', '#tahiti', '#teahupoo', '#frenchpolynesia']",1,1,0,0,0,0,1,0,0.3226517637570699,0.0053790495730936,0.14177984477332772
9500000,9333,2023-02-15,39,17,[],1,1,0,0,1,0,0,0,0.3155347108840942,0.0069131404161453,0.3167132200552378
9500000,12557,2023-02-14,40,22,"['#lanzarote', '#canaryislands']",0,1,0,0,0,1,0,0,0.3121999303499858,0.0065732039511203,0.020824430679020803
9500000,9272,2023-02-14,41,17,[],1,1,0,0,0,0,1,0,0.3243210713068644,0.0053434204310178,0.10919849649232152
9500000,10052,2023-02-13,42,22,[],1,1,0,0,0,0,1,0,0.2793361345926921,0.0142102539539337,0.012966646071551942
9500000,40596,2023-02-13,43,17,[],0,1,0,0,0,1,0,0,0.3075510263442993,0.0090957563370466,0.0
9500000,6329,2023-02-12,44,22,"['#surf', '#southafrica', '#longboardsurfing', '#surfphotographer']",1,1,0,0,0,0,1,0,0.2797586520512898,0.0126256234943866,0.025291967062993567
9500000,10600,2023-02-12,45,17,[],1,1,0,0,0,0,1,0,0.3064417640368144,0.0094099445268511,0.08761013326083969
9500000,10600,2023-02-12,45,17,[],1,0,0,0,0,0,1,0,0.3118715286254883,0.009823640808463,0.04712901495647814
9500000,9450,2023-02-11,46,22,[],1,1,0,0,0,0,1,0,0.3260963360468547,0.0046526463702321,0.1529768056659362
9500000,12304,2023-02-11,47,17,"['#skitouring', '#backcountry']",0,1,0,0,1,0,0,0,0.305890421072642,0.0090832971036434,0.8509885777857584
9500000,19393,2023-02-10,48,17,[],0,1,0,0,1,0,0,0,0.312450627485911,0.010171728208661,0.011872851095506003
9500000,13578,2023-02-09,49,17,[],1,1,0,0,0,0,1,0,0.3126087188720703,0.006305166054517,0.2406429790218207
9500000,12509,2023-02-08,50,17,[],1,1,0,0,0,0,1,0,0.2904933492342631,0.0092265866696834,0.03406800120540131
9500000,9966,2023-02-07,51,17,[],1,1,0,0,0,0,1,0,0.3298426071802775,0.0044216583482921,0.05153852645950389
9500000,10948,2023-02-06,52,16,[],1,1,0,0,0,0,1,0,0.3228455781936645,0.0054060062393546,0.41613619848132466
9500000,14709,2023-02-04,54,18,[],1,1,0,0,1,0,0,0,0.3102607131004333,0.0070941215381026,0.10910405258867668
9500000,25717,2023-02-03,55,18,[],1,1,0,0,0,0,1,0,0.3218637307484944,0.0051062670536339,0.34397660130253555
9500000,9795,2023-02-02,56,23,[],1,0,0,0,0,0,1,0,0.2682718435923258,0.0153661873191595,0.04212595219796628
9500000,9722,2023-02-02,57,21,[],1,1,0,0,0,1,0,0,0.2966715494791667,0.0093553401529788,0.23461798776867024
9500000,28781,2023-02-01,58,18,"['#rockclimbing', '#newmexico']",0,0,0,0,1,0,0,0,0.3199652036031087,0.005573492962867,0.09810804291864794
9500000,12228,2023-01-31,59,18,"['#adventuresports', '#mtblife', '#outdoors', '#actionsportsphotographer']",1,0,0,0,0,1,0,0,0.248206079006195,0.0230896025896072,0.01764336814041995
9500000,10249,2023-01-30,60,18,"['#skiing', '#forestfire', '#tetons']",1,0,0,0,0,0,1,0,0.314523180325826,0.0060588158667087,0.14128738574638872
9500000,10570,2023-01-29,61,18,['#Mundaka'],0,0,0,0,1,0,0,0,0.3157660762468974,0.0062973760068416,0.25061326909358933
9500000,29021,2023-01-28,62,18,[],0,0,0,0,0,1,0,0,0.3208600481351216,0.005395024549216,0.48823071295931736
9500000,7356,2023-01-27,63,17,[],1,0,0,0,0,0,1,0,0.3194715181986491,0.0053738704882562,0.1131180207847172
9500000,13334,2023-01-26,64,17,"['#LukeSheparson', '#eddieaikau', '#waimeabay', '#eddiewouldgo', '#bigwavesurfing', '#eddieswell', '#bigwaveinvitational']",0,0,0,0,0,0,1,0,0.312014639377594,0.0069676195271313,0.09571247103688914
9500000,13334,2023-01-26,64,17,"['#LukeSheparson', '#eddieaikau', '#waimeabay', '#eddiewouldgo', '#bigwavesurfing', '#eddieswell', '#bigwaveinvitational']",0,0,0,0,0,0,1,0,0.3121391137440999,0.0077732810750603,0.05084585281958076
9500000,13334,2023-01-26,64,17,"['#LukeSheparson', '#eddieaikau', '#waimeabay', '#eddiewouldgo', '#bigwavesurfing', '#eddieswell', '#bigwaveinvitational']",0,0,0,0,0,0,1,0,0.3229434490203857,0.0067200791090726,0.06315652070123828
9500000,13334,2023-01-26,64,17,"['#LukeSheparson', '#eddieaikau', '#waimeabay', '#eddiewouldgo', '#bigwavesurfing', '#eddieswell', '#bigwaveinvitational']",1,0,0,0,1,0,0,0,0.3293426434199015,0.0044438974000513,0.22364995403846705
9500000,12488,2023-01-24,66,17,[],1,0,0,0,0,0,1,0,0.315815269947052,0.0057398499920964,0.021265848447175436
9500000,12488,2023-01-24,66,17,[],1,0,0,0,0,0,1,0,0.3262797196706136,0.0052473321557044,0.09212757046732228
9500000,8958,2023-01-23,67,17,"['#skiing', '#forestfire', '#tetons']",1,0,0,0,0,0,1,0,0.314523180325826,0.0060588158667087,0.14128738574638872
9500000,9308,2023-01-22,68,17,[],1,0,0,0,1,0,0,0,0.326432188351949,0.0046987570822238,0.10909369603513942
9500000,14039,2023-01-20,70,21,"['#wyoming', '#iceskating']",1,0,0,0,0,0,1,0,0.3166571656862895,0.0080631980672478,0.22447123085188372
9500000,14039,2023-01-20,70,21,"['#wyoming', '#iceskating']",0,0,0,0,0,0,1,0,0.313256025314331,0.010025231167674,0.18514433788861714
9500000,14039,2023-01-20,70,21,"['#wyoming', '#iceskating']",1,0,0,0,0,0,1,0,0.3136287927627563,0.0074901334010064,0.20888802182253827
9500000,14039,2023-01-20,70,21,"['#wyoming', '#iceskating']",1,0,0,0,0,0,1,0,0.3207498391469319,0.0056940601207315,0.25745790163428295
9500000,6300,2023-01-20,71,17,"['#teaplantation', '#cycling', '#landscapephotography', '#hillstations', '#nilgiris']",1,0,0,0,0,1,0,0,0.3164185484250386,0.0061207599937915,0.4063748021782367
9500000,18197,2023-01-18,73,17,[],1,0,0,0,0,0,1,0,0.3294567267100016,0.0043501509353518,0.3476742696739013
9500000,10457,2023-01-16,75,17,"['#yellowstone', '#crosscountryskiing', '#backcountry']",1,0,0,0,0,0,1,0,0.3241491715113322,0.0049697044305503,0.23166959663720313
9500000,5720,2023-01-15,76,17,[],1,0,0,0,0,0,1,0,0.3191463549931844,0.0053816991858184,0.024072743883911892
9500000,33232,2023-01-14,77,17,[],0,0,0,0,1,0,0,0,0.2735931873321533,0.0170495379716157,0.15687480059501377
9500000,6759,2023-01-13,78,17,[],0,0,0,0,0,0,1,0,0.2929488023122151,0.0126820728182792,0.06941951068762155
9500000,7145,2023-01-11,80,17,[],0,0,0,0,0,1,0,0,0.3224846919377644,0.0058065210469067,0.43516377208584744
9500000,11077,2023-01-10,81,17,[],0,0,0,0,0,0,1,0,0.3190231919288635,0.0072182253934443,0.1370470114039797
9500000,11077,2023-01-10,81,17,[],0,0,0,0,1,0,0,0,0.305179238319397,0.0119758183136582,0.14831725753800296
9500000,11077,2023-01-10,81,17,[],0,0,0,0,1,0,0,0,0.2108307878176371,0.0474162027239799,0.011732600064530838
9500000,11077,2023-01-10,81,17,[],0,0,0,0,1,0,0,0,0.2627981106440226,0.027152631431818,0.0022873466335742894
9500000,11386,2023-01-09,82,17,"['#mtblife', '#natgeophotographer', '#adventuresports', '#downhillchampion']",0,0,0,0,1,0,0,0,0.200669248898824,0.0591099150478839,0.014485431779876996
9500000,6484,2023-01-07,84,17,[],0,0,0,0,0,1,0,0,0.3212210138638814,0.0057878382503986,0.1352626717686526
9500000,10669,2023-01-06,85,17,[],0,0,0,0,0,0,1,0,0.1989660859107971,0.2184712290763855,0.007910302410815218
9500000,10669,2023-01-06,85,17,[],0,0,0,0,0,0,1,0,0.1882866223653157,0.2682706713676452,0.020347731924006917
9500000,12432,2023-01-05,86,22,[],0,0,0,0,0,0,1,0,0.327031950155894,0.0045941928401589,0.19036419198092377
9500000,6239,2023-01-05,87,14,[],0,0,0,0,0,1,0,0,0.3190113306045532,0.0066335573792457,0.1813280580861405
9500000,20746,2023-01-04,88,17,[],0,0,0,0,1,0,0,0,0.3087365825970967,0.0070918034762144,0.18647709573488006
9500000,7355,2023-01-03,89,17,[],0,0,0,0,0,0,1,0,0.3210455775260925,0.0066680936142802,0.05867330684636891
9500000,19276,2023-01-02,90,17,"['#peahi', '#jaws', '#maui', '#bigwavesurfing']",0,0,0,0,0,0,1,0,0.3137524127960205,0.0072104311548173,0.15996848634336902
9500000,5786,2023-01-01,91,17,[],0,0,0,0,1,0,0,0,0.3243709206581116,0.0052604461088776,0.01607519563231611
9500000,28972,2022-12-31,92,17,[],0,0,0,0,0,0,1,0,0.3212088545163472,0.0052601117640733,0.1477566389116443
9500000,9073,2022-12-30,93,17,[],0,0,0,0,1,0,0,0,0.3061403433481852,0.0075916773639619,0.07099836857137756
9500000,11946,2022-12-29,94,22,"['#lanzarote', '#canaryislands']",0,0,0,0,0,1,0,0,0.3245027065277099,0.0048071881756186,0.023688712625531388
9500000,10321,2022-12-28,95,17,[],0,0,0,0,1,0,0,0,0.2835482160250346,0.0107935229316353,0.06072726864107126
9500000,19669,2022-12-27,96,17,[],0,0,0,0,0,1,0,0,0.3282373746236165,0.0046343402937054,0.157796936094936
