pg_seguidores,ph_likes,ph_fecha,ph_numerado,ph_hora,ph_hashtags,ph_persona,ph_naturaleza,ph_animal,ph_text,ph_R,ph_G,ph_B,ph_WB,ph_entropia,ph_energia,ph_foco
12600000,15672,2023-03-14,3,15,['#Hulu15'],0,1,0,0,0,1,0,0,0.2936084071795146,0.0127713875845074,0.04465250038112028
12600000,15672,2023-03-14,3,15,['#Hulu15'],0,1,1,0,0,1,0,0,0.3029983441034953,0.0095072668045759,0.04190863695443386
12600000,15672,2023-03-14,3,15,['#Hulu15'],0,0,0,1,0,1,0,0,0.0946861207485199,0.2692218720912933,0.01747014213574185
12600000,17944,2023-03-13,4,13,"['#spiritbear', '#kermodebear', '#cangeo', '#explorecanada', '#canada', '#britishcolumbia', '#greatbearrainforest', '#wildlifephotography', '#naturephotography']",0,0,1,0,1,0,0,0,0.3056043187777201,0.0108444262295961,0.04727057059959075
12600000,17944,2023-03-13,4,13,"['#spiritbear', '#kermodebear', '#cangeo', '#explorecanada', '#canada', '#britishcolumbia', '#greatbearrainforest', '#wildlifephotography', '#naturephotography']",0,0,1,0,1,0,0,0,0.2488108277320861,0.1132159158587455,0.03744647968266972
12600000,20065,2023-03-12,6,13,"['#grizzlybear', '#brownbear', '#Britishcolumbia', '#conservation']",0,1,0,0,1,0,0,0,0.3201530774434407,0.0054578483104705,0.15467533483500367
12600000,26955,2023-03-10,10,16,"['#climatechange', '#seal', '#harpseal', '#wildlifephotography', '#canada', '#explorecanada', '#quebec', '#magdalenIsland']",0,1,0,0,0,1,0,0,0.2482289870580037,0.0204758141189813,0.005658714537880768
12600000,7371,2023-03-10,11,14,"['#DrPol,']",1,0,0,0,1,0,0,0,0.3247111439704895,0.0048612542450428,0.03683650781038348
12600000,7371,2023-03-10,11,14,"['#DrPol,']",1,0,1,0,0,1,0,0,0.3094362417856852,0.0072109615430235,0.22062906623166947
12600000,7371,2023-03-10,11,14,"['#DrPol,']",1,0,1,0,0,0,1,0,0.2862386107444763,0.0128937289118766,0.00731840346824035
12600000,16585,2023-03-06,20,14,"['#petrel', '#snowpetrel', '#birdphotography', '#Antarctica', '#climatechange', '#climatechangeisreal']",0,1,0,0,0,0,1,0,0.3116227189699809,0.0065739937126636,0.0057998142126521705
12600000,30582,2023-03-05,22,14,"['#penguin', '#emperorpenguin', '#Antarctica', '#snowhillisland', '#climatechange', '#climatechangeisreal', '#wildlifephotography', '#birdphotography']",0,1,0,0,0,0,1,0,0.322299599647522,0.0052321208640933,0.11499447845060709
12600000,19668,2023-03-03,26,14,['#WorldWildlifeDay'],0,1,0,0,1,0,0,0,0.3161837855974833,0.0059686326421797,0.09645628978399219
12600000,19668,2023-03-03,26,14,['#WorldWildlifeDay'],0,1,0,0,0,1,0,0,0.3209260106086731,0.0052190865390002,0.01377703139985052
12600000,19668,2023-03-03,26,14,['#WorldWildlifeDay'],0,1,0,0,0,0,1,0,0.3159282008806864,0.0083845760673284,0.03435277716378448
12600000,36261,2023-03-02,29,18,[],0,0,0,0,0,1,0,0,0.3032521804173787,0.0072903614491224,0.10840364351836028
12600000,36261,2023-03-02,29,18,[],0,1,0,0,0,1,0,0,0.3143086433410644,0.0068354308605194,0.00843938667832587
12600000,23617,2023-02-27,31,14,"['#hare', '#arctichare', '#churchill', '#manitoba', '#canada']",0,1,0,0,1,0,0,0,0.3237171173095703,0.0051333215087652,0.03785719746385968
12600000,16762,2023-02-26,33,14,"['#birdofprey', '#caracara', '#falklands', '#charlesdarwin', '#threatenedspecies', '#wildlifeconservation']",0,1,1,0,1,0,0,0,0.3051041165987651,0.0075659337453544,0.027729900611151593
12600000,19440,2023-02-25,35,14,"['#tiger', '#kaziranga', '#india', '#assam']",0,1,1,0,0,1,0,0,0.3271905382474263,0.0048050992190837,0.2338040066620949
12600000,11897,2023-02-24,36,20,['#DrPol'],0,0,1,0,1,0,0,0,0.2829995155334472,0.0147977396845817,0.005812683700732445
12600000,17164,2023-02-24,38,14,"['#srilanka', '#natgeowild', '#endangeredspecies', '#elephant', '#conservation']",0,0,0,0,1,0,0,0,0.3231434424718221,0.0049525275826454,0.15756952915475203
12600000,17164,2023-02-24,38,14,"['#srilanka', '#natgeowild', '#endangeredspecies', '#elephant', '#conservation']",0,0,1,0,1,0,0,0,0.3209324677785237,0.005492677912116,0.05623340380487182
12600000,16181,2023-02-23,42,14,[],0,1,1,0,1,0,0,0,0.297790249188741,0.015027929097414,0.28423369546792915
12600000,14323,2023-02-22,44,16,"['#Svalbard', '#reindeer', '#svalbardreindeer', '#wildlifephotography', '#iceberg', '#arctic']",0,1,0,0,0,0,1,0,0.266246239344279,0.0164305958896875,0.05050289623469419
12600000,59606,2023-02-20,46,20,['#WorldWhaleDay!'],0,1,0,0,1,0,0,0,0.30750572681427,0.0077544865198433,0.051644092727116724
12600000,59606,2023-02-20,46,20,['#WorldWhaleDay!'],0,0,0,0,0,0,1,0,0.2949463327725728,0.0180112570524215,0.0036763866668093736
12600000,23507,2023-02-20,47,14,[],0,1,1,0,1,0,0,0,0.3037441372871399,0.0110850296914577,0.31063310974170494
12600000,3779,2023-02-19,50,13,['#FireofLove'],1,0,0,1,1,0,0,0,0.2575264970461527,0.0580861419439315,0.03964088030709228
