pg_seguidores,ph_likes,ph_fecha,ph_numerado,ph_hora,ph_hashtags,ph_persona,ph_naturaleza,ph_animal,ph_text,ph_R,ph_G,ph_B,ph_WB,ph_entropia,ph_energia,ph_foco
6600000,3783,2023-03-13,1,21,"['#YourShotPhotographer', '#Taiwan', '#Taipei']",1,0,0,0,0,0,1,0,0.2907422184944153,0.0152679551392793,0.022469145886374935
6600000,24923,2023-03-12,2,16,"['#YourShotPhotographer', '#Rügen']",0,1,0,0,0,0,1,0,0.3283793528874715,0.0044343024492263,0.564312805020127
6600000,14024,2023-03-11,3,17,"['#yourshotphotographer', '#Australia', '#Airshow', '#decisive']",1,0,0,0,0,1,0,0,0.3270487387975057,0.0046857860870659,0.1175262061483927
6600000,5463,2023-03-11,4,1,"['#YourShotPhotographer', '#rakali', '#portrait', '#mammal']",0,0,0,0,1,0,0,0,0.1960460940996805,0.0853690654039383,0.007551373332772461
6600000,12254,2023-03-10,5,1,['#YourShotPhotographer'],1,1,0,0,1,0,0,0,0.3162843783696492,0.0063270325772464,0.013328226788744183
6600000,10896,2023-03-08,6,18,"['#OldIrishGoatSociety', '#OldIrishGoat', '#yourshotphotographer']",0,1,0,0,1,0,0,0,0.2983668645222981,0.0087512722238898,0.08925073867366497
6600000,10896,2023-03-08,6,18,"['#OldIrishGoatSociety', '#OldIrishGoat', '#yourshotphotographer']",1,1,0,0,1,0,0,0,0.3231327732404073,0.0053075258620083,0.005252378068574111
6600000,10896,2023-03-08,6,18,"['#OldIrishGoatSociety', '#OldIrishGoat', '#yourshotphotographer']",0,1,0,0,1,0,0,0,0.3017208973566691,0.0082748150452971,0.05299720960555959
6600000,10896,2023-03-08,6,18,"['#OldIrishGoatSociety', '#OldIrishGoat', '#yourshotphotographer']",0,1,1,0,1,0,0,0,0.3010614116986592,0.0082636903971433,0.021993458029300264
6600000,14531,2023-03-07,7,23,['#yourshotphotographer'],0,1,0,0,1,0,0,0,0.3155433734258016,0.0056483354419469,0.0921958446261794
6600000,12480,2023-03-07,8,1,['#YourShotPhotographer'],0,1,0,0,0,0,1,0,0.3150167465209961,0.0058642979711294,0.011133998803657048
6600000,43874,2023-03-05,9,17,['#YourShotPhotographer'],1,0,0,0,0,0,0,0,0.1907986005147298,0.2713529169559479,0.07888921198619281
6600000,43874,2023-03-05,9,17,['#YourShotPhotographer'],1,0,0,0,0,0,0,0,0.3035767873128255,0.0069397296756505,0.02601795625057016
6600000,9038,2023-03-04,10,17,"['#YourShotPhotographer', '#deer', '#snow', '#Canada', '#wildlife']",0,1,0,0,1,0,0,0,0.281182865301768,0.0123182088136672,0.028898487313314732
6600000,9551,2023-03-03,11,23,"['#YourShotPhotographer', '#ladybug', '#macro', '#seeds', '#nature']",0,1,0,0,1,0,0,0,0.3160990873972575,0.0067730695009231,0.02395916264013123
6600000,6945,2023-03-02,12,22,[],0,0,0,0,1,0,0,0,0.2567876776059468,0.0589498318731784,0.013569074881727898
6600000,6945,2023-03-02,12,22,[],0,0,0,0,1,0,0,0,0.2827100157737732,0.0201042592525482,0.0040821332311778815
6600000,6945,2023-03-02,12,22,[],0,1,0,1,1,0,0,0,0.2771589756011963,0.0172832887619733,0.001963382021325864
6600000,6945,2023-03-02,12,22,[],0,0,0,1,0,0,1,0,0.16525200009346,0.2372664660215377,0.0005057084820235885
