pg_seguidores,ph_likes,ph_fecha,ph_numerado,ph_hora,ph_hashtags,ph_persona,ph_naturaleza,ph_animal,ph_text,ph_R,ph_G,ph_B,ph_WB,ph_entropia,ph_energia,ph_foco
383000,564,2023-03-15,4,10,[],0,1,0,0,0,1,0,0,0.32517937819163,0.0052110506221652,0.015291091617457972
383000,605,2023-03-14,6,10,[],0,1,0,0,0,1,0,0,0.3201407790184021,0.005205693654716,0.05692780215141683
383000,617,2023-03-13,7,16,[],1,0,0,1,0,1,0,0,0.3256216446558634,0.0048497803509235,0.09902793702295096
383000,3465,2023-03-13,8,9,[],0,0,0,0,1,0,0,0,0.2852374116579692,0.0142137929797172,0.2625750998852607
383000,324,2023-03-12,9,11,"['#Oscars,']",1,0,0,1,1,0,0,0,0.2647026975949605,0.0268225967884063,0.07716287016146878
383000,1708,2023-03-12,10,9,[],0,1,0,0,1,0,0,0,0.2850428422292073,0.0256568696349859,0.03841904015886756
383000,518,2023-03-11,11,16,[],1,0,0,1,1,0,0,0,0.2788185874621073,0.048331681638956,0.06364172796465986
383000,966,2023-03-11,13,9,[],0,1,0,0,1,0,0,0,0.3265222311019897,0.0047219451516866,0.131244113651042
383000,2817,2023-03-10,15,9,[],0,1,0,0,0,0,1,0,0.314796507358551,0.0065792705863714,0.08002786123378235
383000,4210,2023-03-09,17,9,[],0,1,0,0,0,1,0,0,0.2864234050114949,0.0165448263287544,0.13855572989682355
383000,1403,2023-03-08,20,10,"['#8m', '#8marzo', '#diadelamujer', '#8m2023', '#diainternacionaldelamujer']",1,0,0,0,1,0,0,0,0.3193670511245727,0.0055509619414806,0.04483718562717166
383000,1395,2023-03-07,22,10,[],0,1,0,0,0,1,0,0,0.32340274254481,0.0049313674680888,0.019170548215226565
383000,1166,2023-03-06,24,10,[],0,1,1,0,0,1,0,0,0.3116138776143392,0.0063513200730085,0.057646472418840154
383000,5447,2023-03-05,26,9,[],0,0,1,0,1,0,0,0,0.3101766904195149,0.0062318830750882,0.07510285380764971
383000,1002,2023-03-04,27,16,[],1,0,0,1,0,1,0,0,0.3134100834528605,0.0066966386511921,0.22149654075357683
383000,2611,2023-03-04,29,9,[],0,1,0,0,0,0,1,0,0.3177360296249389,0.0056562987156212,0.03232913933046439
383000,1660,2023-03-03,31,9,[],0,1,0,0,1,0,0,0,0.3140774170557658,0.0062209432944655,0.04020433539910289
383000,2781,2023-03-02,33,10,[],0,1,0,0,0,1,0,0,0.3283234437306722,0.0045260428451001,0.07822109943270907
383000,768,2023-03-01,34,19,[],0,0,0,1,0,1,0,0,0.319208820660909,0.0057164239697158,0.12039948328847191
383000,479,2023-03-01,35,16,[],1,0,0,0,1,0,0,0,0.3187490502993266,0.006131490226835,0.05184171527652241
383000,479,2023-03-01,35,16,[],1,0,0,1,1,0,0,0,0.3212121129035949,0.0055741779506206,0.0860932551729496
383000,479,2023-03-01,35,16,[],1,0,0,0,1,0,0,0,0.3177647789319356,0.0058483071625232,0.07173950038621038
383000,479,2023-03-01,35,16,[],0,0,0,0,1,0,0,0,0.3211631178855896,0.0055898865684866,0.12349481775923943
383000,2401,2023-03-01,37,9,[],0,1,1,0,0,1,0,0,0.3250603278477986,0.0048266127705574,0.11944583642154578
383000,4413,2023-02-28,39,10,[],0,0,1,0,1,0,0,0,0.3028127352396647,0.0153123261407017,0.18155715160541944
383000,2883,2023-02-27,41,10,[],0,1,0,0,0,1,0,0,0.319583257039388,0.005453756544739,0.026837376389336563
383000,4453,2023-02-26,44,9,[],0,0,0,0,0,0,1,0,0.3033040165901184,0.0072818528860807,0.03848667731687704
383000,322,2023-02-25,45,19,[],1,0,0,1,1,0,0,0,0.2847493290901184,0.0541108436882495,0.2681959867927727
383000,2724,2023-02-25,48,9,[],0,1,0,0,1,0,0,0,0.31600288550059,0.0055411206558346,0.05013829791658765
383000,127800,2023-02-24,51,9,[],0,1,1,0,0,0,1,0,0.2703498403231303,0.0163841564208269,0.08906644700717616
383000,12590,2023-02-23,53,9,[],1,1,0,0,0,1,0,0,0.3209114074707031,0.0051585300825536,0.22475301989103863
383000,1906,2023-02-22,57,10,[],0,0,0,0,0,0,1,0,0.3147964080174764,0.0093590300530195,0.040006892200675444
383000,858,2023-02-21,58,12,[],0,0,0,1,1,0,0,0,0.2952791849772135,0.0096802273765206,0.11920275501871268
383000,4254,2023-02-21,59,9,[],0,1,0,0,0,0,1,0,0.3071572780609131,0.0067670019343495,0.016266427596045137
383000,3847,2023-02-20,61,10,[],0,1,0,0,1,0,0,0,0.3015684485435486,0.0081012994050979,0.24789334218690828
383000,6478,2023-02-19,63,9,[],0,0,0,0,1,0,0,0,0.2735478679339091,0.0286643989384174,0.016585634129165656
383000,550,2023-02-18,65,12,[],0,0,0,1,1,0,0,0,0.2855859796206156,0.0504869818687438,0.03377483335747215
383000,27705,2023-02-18,66,9,[],0,0,0,0,0,0,1,0,0.3167768319447835,0.0063624344766139,0.6682535205652196
383000,2343,2023-02-17,69,10,[],0,1,0,0,1,0,0,0,0.3280162413914998,0.004477173089981,0.27303536477954915
383000,1158,2023-02-16,71,9,[],0,1,0,0,1,0,0,0,0.2953399022420247,0.0088969124481081,0.05195310100403855
383000,272,2023-02-15,73,11,[],1,0,0,1,1,0,0,0,0.2808215618133545,0.0313293375074863,0.14025337740866742
383000,923,2023-02-15,74,10,[],0,1,1,0,1,0,0,0,0.3098143339157104,0.006613808684051,0.13452610590175976
383000,9080,2023-02-14,76,9,[],0,1,0,0,0,1,0,0,0.3031405210494995,0.0105446875095367,0.15752344632139867
